coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
zrcoin,11 May 2017,9 Jun 2017,29.0,349.0,2,blockchain,11,7000000.0,N/A,N/A,1.55,918,0,N/A,47.35,2303,0.08,0.03,0.5,0.62,-0.098,-1.0,0.006,-0.07
upfiring,3 Oct 2017,31 Oct 2017,28.0,205.0,12,saas,N/A,25848.0,N/A,N/A,0.05,N/A,0,N/A,7.38,362421,-0.26,0.21,3.33,3.5,-0.28,19.5,0.018,0.065
vslice,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,2145,-0.02,0.04,0.56,0.86,0.186,9.5,0.009,-0.035
aigang,15 Nov 2017,15 Dec 2017,30.0,160.0,7,fintech,7,5000000.0,N/A,N/A,0.31,4640,0,7837,12.1,16206500,-0.22,-0.26,-4.06,-3.68,-0.219,0.5,-0.02,-0.085
startercoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,54023,-0.34,-0.05,-0.76,-0.36,-0.359,6.5,-0.009,-0.075
stellite,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,154829,0.04,0.29,0.59,0.96,0.137,13.5,-0.002,0.005
tokenbox,14 Nov 2017,28 Nov 2017,14.0,177.0,2,saas,8,8000000.0,20000000.0,0.4,1.0,2003,0,2419,0.5,116601,-0.15,-0.12,-1.91,-1.43,0.083,15.5,-0.009,0.035
social send,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
force,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,2496,0.13,0.21,3.36,3.43,-1.11,17.5,0.056,0.085
xgox,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,26698,0.14,-0.02,-0.27,-0.09,-0.51,12.5,0.011,0.005
uniform fisca...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
latiumx,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,83565,-0.14,0.01,0.15,0.46,-1.069,-5.0,0.003,0.04
sexcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,0.25,0.13,2.13,2.17,-0.052,2.0,0.018,-0.02
ignition,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,221297,0.04,-0.08,-1.29,-1.0,-0.088,-29.0,-0.002,0.0
rupee,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,3030,0.33,0.18,2.89,3.0,-0.13,20.5,0.048,0.105
blitzpredict,22 Jan 2018,22 Feb 2018,31.0,91.0,1,other,5,3500000.0,N/A,N/A,N/A,14047,0,N/A,N/A,48405,-0.04,-0.31,-0.63,-0.4,0.762,-19.5,0.015,-0.165
ethorse,10 Jan 2018,17 Jan 2018,7.0,127.0,7,other,N/A,4800000.0,N/A,N/A,0.052,N/A,0,1275,1.61,523864,0.01,0.03,0.4,0.8,-0.038,2.5,-0.003,-0.055
verify,29 Nov 2017,06 Dec 2017,7.0,169.0,7,saas,9,N/A,14500000.0,N/A,0.23,N/A,0,510,1.44,803439,0.32,0.12,1.86,2.1,0.165,-14.0,0.011,-0.12
micromoney,18 Oct 2017,18 Nov 2017,31.0,187.0,12,fintech,18,10500000.0,30000000.0,0.35,1.0,5244,0,166019,-0.33,452417,0.31,0.09,1.47,1.76,-0.16,9.5,0.001,-0.045
evergreencoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,320,0.18,0.04,0.64,0.78,-0.02,6.5,0.025,-0.025
gcn coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
campuscoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1455,0.39,0.16,2.51,2.64,-0.44,0.5,0.05,-0.075
trakinvest,8 Feb 2018,7 Mar 2018,27.0,78.0,7,fintech,14,50000000.0,N/A,N/A,0.85,39057,0,471,-0.85,262810,-0.01,-0.1,-0.2,-0.05,0.503,42.5,0.013,0.255
huntercoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,12496,0.16,0.04,0.66,0.87,-0.033,1.0,0.01,-0.08
trustplus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,28646,-0.36,0.04,0.61,0.79,-0.036,0.5,0.024,-0.055
e-gulden,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,92,0.26,0.18,2.82,2.89,-0.021,3.0,0.014,-0.03
ethbits,15 Apr 2017,13 May 2017,28.0,376.0,4,saas,3,1216178.0,N/A,N/A,1.14,6608,0,5532,0.92,3027,0.06,0.25,3.94,3.94,30.758,-17.0,2.073,-0.06
straks,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,18,0,N/A,N/A,40407,0.27,0.12,1.95,2.04,0.575,8.0,0.038,-0.06
live stars,15 Jan 2018,15 Feb 2018,31.0,98.0,5,saas,6,2518564.0,5000000.0,0.5,0.2,2760,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitswift,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,49040,0.3,0.11,1.78,2.08,-0.294,7.5,0.019,-0.035
elite,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
biblepay,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,2398,-0.0,0.02,0.32,0.71,1.483,14.0,0.069,0.07
fabric token,15 Feb 2018,1 Apr 2018,45.0,53.0,5,blockchain,10,1035986.0,9000000.0,0.12,0.113,5231,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
transcodium,1 Mar 2018,30 Apr 2018,60.0,24.0,4,saas,7,10977534.0,30000000.0,0.37,0.376,6239,0,N/A,-0.63,488145,-0.6,-1.05,-2.09,-1.54,-0.515,-9.5,-0.015,-0.035
indorse token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ergo,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,662,0.13,0.13,2.14,2.33,-0.075,-10.5,0.019,-0.035
ace,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,18,0,N/A,N/A,49234,0.14,0.03,0.4,0.71,-0.03,10.5,0.009,-0.025
rupaya,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,37972,0.24,0.15,2.38,2.39,0.756,10.0,0.264,-0.02
primalbase token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
putincoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,846,0.17,0.08,1.26,1.44,-0.074,6.0,0.029,-0.03
teslacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,6459,-0.08,0.06,0.98,1.09,0.305,1.0,0.024,-0.06
speed mining ...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
magi,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,195,-0.02,0.04,0.69,0.88,0.033,6.0,0.009,-0.04
mercury protocol,N/A,N/A,N/A,N/A,1,saas,16,10000000.0,24000000.0,0.42,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
soma,27 Sep 2017,14 Nov 2017,48.0,191.0,5,ecommerce,11,6000000.0,N/A,N/A,0.74,1587,0,4863,-0.69,6114,0.39,0.15,2.37,2.54,-0.32,0.5,0.027,-0.115
hat.exchange,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ethersportz,9 Jan 2018,10 Jan 2018,1.0,134.0,1,entertainment,6,3500000.0,3500000.0,1.0,0.5,1783,0,N/A,0.12,71545,0.12,0.04,0.57,0.83,1.105,-0.5,0.019,-0.085
signals network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hirematch,1 Oct 2017,15 Feb 2018,137.0,98.0,1,fintech,4,16000000.0,N/A,N/A,0.17,N/A,0,1932,-0.83,98386,0.03,0.16,2.52,2.95,-0.044,2.5,0.018,0.015
pylon network,4 Oct 2017,24 Oct 2017,20.0,212.0,5,energy,20,N/A,N/A,N/A,1.79,1508,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
litedoge,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,9902,-0.05,0.11,1.75,1.9,0.298,-34.0,0.172,-0.13
condensate,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1098,0.25,0.26,4.07,4.18,-0.302,2.0,0.03,0.0
eventchain,13 Sep 2017,14 Oct 2017,31.0,222.0,1,entertainment,8,11249000.0,N/A,N/A,1.47,N/A,0,35869,-0.89,1884,0.21,0.17,2.74,2.82,-0.52,3.5,0.041,-0.025
coinlancer,14 Oct 2017,15 Nov 2017,32.0,190.0,12,saas,36,11000000.0,N/A,N/A,0.25,7270,0,2246,0.69,3536710,0.03,-0.09,-1.49,-1.2,-0.208,-3.5,-0.011,-0.025
goldmint,20 Sep 2017,11 Nov 2017,52.0,194.0,2,fintech,11,7680000.0,49000000.0,0.156734693877551,7.0,11056,0,2585,-0.63,74776,0.24,0.16,2.47,2.78,-0.037,15.5,0.005,-0.075
zero,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,1976,0.21,0.15,2.37,2.54,0.129,1.5,0.02,-0.025
trezarcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,380,0,N/A,N/A,24311,0.28,0.23,3.73,3.93,-0.138,8.0,0.021,0.0
boutspro,11 Mar 2018,25 Mar 2018,14.0,60.0,4,blockchain,32,N/A,7000000.0,N/A,0.007,13242,0,9867,2.19,100240,0.97,1.67,3.34,3.82,-0.376,2.5,0.02,-0.015
hicoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1267,0.1,0.07,1.16,1.27,-0.12,-3.5,0.01,-0.085
earth token,N/A,N/A,N/A,N/A,11,saas,11,N/A,N/A,N/A,N/A,13463,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
chaincoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0.2,0.07,1.09,1.25,-0.071,12.0,0.06,-0.03
creativecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,2140,0.33,0.21,3.32,3.48,-0.022,-5.0,0.019,-0.06
crycash,12 Dec 2017,31 Jan 2018,50.0,113.0,5,blockchain,6,N/A,N/A,N/A,1.1,3154,0,1431,-0.57,50581,0.07,0.57,1.14,1.6,0.102,-0.0,0.003,-0.09
argentum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,0.49,0.17,2.75,3.01,-0.015,-11.5,0.046,-0.085
obsidian,12 Aug 2017,26 Aug 2017,14.0,271.0,4,saas,6,1566332.0,8820000.0,0.18,0.15,810,0,8829,1.49,262223,0.12,0.15,2.45,2.78,-0.045,6.0,0.004,-0.03
origami,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,206703,0.0,0.02,0.03,0.25,2.688,6.5,0.009,-0.045
noblecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,32841,-0.22,0.07,1.18,1.27,-0.026,9.0,0.017,0.03
united crypto...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
qvolta,10 Oct 2017,20 Oct 2017,10.0,216.0,7,blockchain,4,1143178.0,N/A,N/A,0.3,1611,0,N/A,0.06,40141,0.06,0.14,2.28,2.47,0.142,26.0,0.017,0.04
the cypherfunks,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
apr coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
linx,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,32224,0.25,0.18,2.9,3.05,0.023,1.0,0.019,-0.06
digitalprice,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,542,0.18,0.16,2.56,2.66,-0.708,-4.0,0.057,-0.08
yocoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,63,0.21,0.19,2.98,3.0,-0.008,5.5,0.098,-0.025
equitrader,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,5311,0.18,0.14,2.21,2.5,-0.167,15.5,0.011,0.015
tokenstars,31 Aug 2017,31 Oct 2017,61.0,205.0,7,other,4,4901000.0,15000000.0,0.3267333333333333,N/A,18219,0,N/A,N/A,409248,-2.58,-4.47,-8.94,-8.55,-0.147,1.5,-0.078,-0.145
deutsche emark,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
magnet,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,53402,0.15,0.19,3.04,3.27,0.118,0.0,0.006,-0.04
centurion,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,12766,-0.37,0.03,0.54,0.81,-0.276,33.0,0.042,0.44
bitdeal,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,13133,0.22,0.11,1.78,1.92,-0.147,-9.0,0.014,-0.07
belugapay,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,106871,0.1,0.8,1.61,1.78,3.063,-30.5,0.019,-0.075
ellaism,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,22882,0.28,0.28,4.47,4.76,-0.103,3.0,0.013,-0.06
jesus coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ebitcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
vivo,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,27377,0.3,0.16,2.54,2.8,0.04,12.5,0.008,0.045
capricoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,2470,0.2,0.19,3.06,3.72,-0.161,-2.5,0.011,-0.075
skincoin,21 Jun 2017,21 Jul 2017,30.0,307.0,2,blockchain,5,3292183.0,10000000.0,0.33,0.04,705,0,6676,-0.08,9042,-0.18,0.0,0.0,0.25,-0.346,-16.5,0.01,-0.075
neverdie,30 Jun 2017,1 Sep 2017,63.0,265.0,1,entertainment,2,5800000.0,10000000.0,0.58,0.25,3,0,1484,-0.19,43022,-0.08,-0.16,-2.59,-2.12,-0.247,-9.0,0.007,-0.06
canada ecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tidex token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
intensecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,6,0,N/A,N/A,14645,0.17,0.25,4.01,4.2,-0.046,7.5,0.015,-0.045
magiccoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,66069,-0.31,-0.23,-3.68,-3.45,-0.486,13.5,-0.027,0.075
chronologic,25 Aug 2017,25 Sep 2017,31.0,241.0,12,fintech,3,7400000.0,N/A,N/A,0.1,N/A,0,N/A,108.4,23084,-0.02,-0.0,-0.02,0.3,-0.011,-0.5,0.012,-0.065
ong.social,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
unbreakablecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1272,0.14,0.07,1.14,1.36,1.837,6.5,0.45,-0.025
blocklancer,16 Jan 2018,16 Feb 2018,31.0,97.0,5,fintech,5,30000010.0,90000000.0,0.33,0.09,N/A,0,50,-0.79,34683,0.24,1.93,3.85,4.05,0.998,4.0,0.022,-0.01
bytecent,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1665,-0.05,-0.06,-0.94,-0.58,-0.122,-13.5,0.006,-0.065
bitwhite,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,255839,0.15,0.05,0.86,1.0,-0.613,-2.5,0.011,-0.025
808coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,24,0.13,0.16,2.46,2.59,0.203,34.0,0.035,0.1
bitzeny,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,14,0.29,0.13,2.13,2.29,-0.03,14.0,0.021,-0.02
biotron,27 Mar 2018,05 Apr 2018,9.0,49.0,12,other,N/A,N/A,N/A,N/A,0.22,2458,0,N/A,-0.81,955,0.16,1.3,2.61,2.89,0.652,17.5,0.019,-0.045
martexcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,14,0.29,0.2,3.15,3.21,-0.29,17.0,0.069,0.04
innova,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,1124,0,N/A,N/A,160993,0.12,0.17,2.72,3.07,-0.136,4.0,-0.004,-0.03
machinecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,8,0.08,0.11,1.81,2.03,-0.304,0.5,0.102,-0.065
digitalcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,-0.04,0.05,0.79,1.19,0.283,2.5,0.011,-0.005
centra,03 Aug 2017,02 Oct 2017,60.0,234.0,1,fintech,19,49224000.0,N/A,N/A,3.84,1196,0,47,-0.91,2484,0.24,0.14,2.22,2.25,-0.242,-1.0,0.044,-0.05
onix,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,56,0.23,0.13,2.13,2.17,-0.681,5.0,0.053,-0.03
popularcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,14,0.27,0.19,2.96,3.04,-0.514,-18.0,0.064,-0.24
fantasy cash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wild crypto,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tigereum,8 Dec 2017,18 Dec 2017,10.0,157.0,4,saas,15,N/A,12000000.0,N/A,0.067,N/A,0,5151,1.17,195263,0.29,0.14,2.27,2.46,-0.087,5.0,0.024,-0.05
woodcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,-0.01,0.08,1.27,1.53,-0.126,-3.5,0.012,-0.035
version,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1409,0.19,0.13,2.07,2.25,-0.098,-14.0,0.024,-0.03
photon,N/A,N/A,N/A,N/A,1,saas,12,N/A,N/A,N/A,N/A,N/A,0,3404,N/A,67,0.06,0.12,1.93,2.05,0.161,3.0,0.059,-0.06
megacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,0.62,0.17,2.72,3.07,0.111,5.5,0.008,0.005
legends room,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kolion,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,71399,0.18,0.43,6.89,8.31,0.001,1.5,0.001,-0.075
numus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,572644,-0.02,-0.02,-0.33,-0.06,-0.829,10.5,-0.02,-0.005
shekel,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,171852,-0.16,-0.17,-2.73,-2.42,-0.16,3.5,-0.011,-0.045
unitus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,638,-0.25,-0.12,-1.86,-1.65,-0.122,-1.0,0.026,-0.12
miners' rewar...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wearesatoshi,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1087,0.08,0.02,0.34,0.52,-0.033,54.0,0.042,0.31
petrodollar,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,119,0.26,0.21,3.31,3.35,0.156,-11.5,0.09,-0.105
draftcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,10,0.22,0.18,2.87,3.09,0.612,-7.0,0.016,-0.09
wandx,27 Oct 2017,21 Nov 2017,25.0,184.0,7,other,6,86654.0,N/A,N/A,0.09,2386,0,6202,4.73,90663,0.3,0.04,0.6,0.84,-0.041,1.5,0.01,-0.055
sovereign hero,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nitro,30 Nov 2017,26 Dec 2017,26.0,149.0,3,saas,11,2702293.0,N/A,N/A,0.97,16384,0,3727,0.58,131540,0.07,0.07,1.18,1.3,-0.461,-7.5,0.028,0.095
advanced tech...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitjob,12 Sep 2017,13 Oct 2017,31.0,223.0,12,saas,26,2700000.0,N/A,N/A,0.39,2184,0,6881,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
maza,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sagacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,77967,0.37,0.16,2.61,2.77,-0.881,6.5,0.006,-0.075
bitradio,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1225,0.23,0.15,2.33,2.42,-0.032,-0.5,0.025,-0.025
procurrency,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1210,0.17,0.13,2.07,2.47,-0.365,-5.0,0.029,-0.08
fujicoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,13,0,N/A,N/A,7,0.25,0.16,2.6,2.65,-0.017,7.0,0.055,-0.03
vulcano,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,29481,-0.03,0.07,1.1,1.25,-0.232,11.0,0.005,-0.1
truckcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,108,0.19,0.2,3.15,3.25,0.087,2.5,0.025,-0.005
equal,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,294780,-0.02,-0.1,-1.62,-1.14,-0.132,-4.5,-0.003,-0.045
dinastycoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,44,0,N/A,N/A,1901,0.15,0.13,2.01,2.28,0.041,-10.0,0.018,-0.02
aerium,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,22824,0.09,0.12,1.93,2.05,-0.185,-46.0,0.022,0.05
roulettetoken,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,53765,0.18,0.03,0.41,0.73,-0.335,-38.0,0.026,-0.03
