coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
travelflex,13 Dec 2017,11 Jan 2018,29,147,12,other,N/A,N/A,N/A,N/A,0.28,102,3,N/A,0.5,-0.267,29538,-0.18,-0.03,-0.52,-0.52,-0.078,nan,0
dether,7 Feb 2018,9 Feb 2018,2,118,5,saas,8,13444650,13444650,1,0.2,6764,1,1291,0.5,-0.237,40103,-0.32,-0.11,-1.69,-1.69,0.583,nan,0.002
fidentiax,6 Nov 2017,5 Dec 2017,29,184,7,saas,8,1566283,2900524,0.54,0.93,2469,1,3915,0.22,-0.701,77268,0.26,0.07,1.06,1.06,-0.209,nan,0.003
tokes,2 Dec 2016,16 Jan 2017,45,507,1,blockchain,3,N/A,N/A,N/A,5.06,N/A,1,8537,N/A,-0.897,15471,0.25,0.19,2.96,2.96,-0.121,nan,0.011
opus,24 Jul 2017,24 Aug 2017,31,287,12,entertainment,11,5737250,19783621,0.29,0.04,1643,1,3659,0.86,0.299,37435,-0.08,0,-0.01,-0.01,-0.074,nan,0.032
sether,15 Jan 2018,15 Jan 2018,0,143,5,saas,14,28000000,N/A,N/A,N/A,6940,2,10873,0.32,0,46969,-0.1,-0.05,-0.81,-0.81,-0.271,nan,-0.008
fintrux-network,07 Feb 2018,28 Feb 2018,21,99,7,other,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,102017,-0.04,-0.35,-0.69,-0.69,0.2,nan,-0.025
zrcoin,11 May 2017,9 Jun 2017,29,363,2,blockchain,11,7000000,N/A,N/A,1.55,963,7,N/A,N/A,47.348,2303,0.08,0.03,0.5,0.5,-0.102,nan,0.007
viuly,1 Nov 2017,15 Nov 2017,14,204,5,entertainment,3,N/A,30000000,N/A,0.17,6607,1,6241,0.74,-0.967,14913,0.32,0.25,4.03,4.03,0.12,nan,0.029
adhive,28 Feb 2018,14 Mar 2018,14,85,5,entertainment,17,17491749,17491749,1,0.17,16008,1,5543,0.82,-0.675,772548,0.12,0.93,1.86,1.86,-1.422,nan,-0.003
atlant,7 Sep 2017,1 Nov 2017,55,218,2,real estate,12,6663530,66635300,0.1,0.57,5125,5,4048,0.56,-0.308,323580,-0.27,0.04,0.68,0.68,-0.229,nan,0.005
amlt,11 Dec 2017,29 Jan 2018,49,129,12,blockchain,18,19042042,19042042,1,0.39,4935,0,6582,0.38,-0.798,263017,-0.16,-0.01,-0.1,-0.1,0.038,nan,0
voise,6 May 2017,6 Jun 2017,31,366,5,saas,N/A,64651,N/A,N/A,N/A,9062,6,23893,N/A,0,3629,0.29,0.2,3.11,3.11,0.658,nan,0.092
hoqu,27 Nov 2017,26 Feb 2018,91,101,4,fintech,5,18782400,32951579,0.57,0.17,14752,3,6135,0.84,-0.564,29097,-0.15,-0.04,-0.63,-0.63,0.031,nan,-0.011
starta,4 Jul 2017,3 Aug 2017,30,308,2,fintech,13,50000009,N/A,N/A,1,N/A,7,N/A,N/A,-0.204,6482,0.17,0.05,0.73,0.73,-0.634,nan,0.026
internxt,7 Sep 2017,28 Sep 2017,21,252,5,saas,5,220800,22080000,0.01,1.01,14555,2,2,N/A,2.129,294867,0.16,0.18,2.87,2.87,-0.086,nan,0.021
autonio,22 Sep 2017,22 Oct 2017,30,228,12,fintech,9,N/A,10000000,N/A,0.1,4249,1,6808,N/A,-0.955,11004,0.36,0.27,4.26,4.26,-0.814,nan,0.043
gatcoin,17 Dec 2017,5 Jan 2018,19,153,3,saas,17,14500000,14500000,1,0.2,3972,1,4363,0.54,-0.604,681451,-0.3,-0.23,-3.69,-3.69,-0.044,nan,-0.012
herocoin,14 Sep 2017,14 Oct 2017,30,236,5,other,7,2021034,15546415,0.13,0.0267,1959,1,N/A,0.52,-0.241,852325,0.3,0.16,2.55,2.55,-0.53,nan,0.024
hellogold,28 Aug 2017,2 Oct 2017,35,248,12,saas,19,5208991,N/A,N/A,0.05,1506,1,1985,0.3,-0.516,28580,0,0.14,2.29,2.29,-0.142,nan,0.022
iungo,7 Dec 2017,31 Jan 2018,55,127,5,saas,14,45978800,45978800,1,1.15,10650,1,4957,0.72,-0.587,885373,-0.17,-0.2,-3.17,-3.17,-0.063,nan,-0.011
eboost,13 Sep 2016,25 Oct 2016,42,590,12,other,N/A,N/A,N/A,N/A,0.2,N/A,1,N/A,N/A,-0.126,300469,0.24,0.13,2.11,2.06,0.086,2.88,0.015
blockcat,15 Jul 2017,14 Aug 2017,30,297,1,saas,7,6284400,6284400,1,1,N/A,1,7864,0.42,0.08,28777,0.19,0.06,0.96,0.96,-0.191,nan,0.006
digipulse,1 Oct 2017,31 Oct 2017,30,219,5,other,6,N/A,N/A,N/A,1.21,25292,2,6231,N/A,-0.116,4092,0.12,0.24,3.77,3.77,-0.133,nan,0.017
verime,1 Mar 2018,31 Mar 2018,30,68,7,saas,18,21720000,30166667,0.72,N/A,38985,1,9054,0.48,0,95404,-0.3,-2.41,-4.82,-4.82,0.238,nan,-0.023
upfiring,3 Oct 2017,31 Oct 2017,28,219,12,saas,N/A,25848,N/A,N/A,0.05,N/A,1,N/A,0.38,7.382,362421,-0.26,0.21,3.33,3.33,-0.272,nan,0.017
experty,25 Jan 2018,25 Feb 2018,31,102,6,telecommunications,15,9468000,9468000,1,1.05,13880,7,15584,0.82,-0.373,1742640,-0.58,-0.12,-1.85,-1.85,-0.055,nan,-0.013
cryptopay,2 Oct 2017,30 Oct 2017,28,220,4,blockchain,3,18148220,64815071,0.28,0.31,369,5,8586,0.48,0.243,380453,0.1,0.07,1.04,1.04,-0.347,nan,0.005
cryptoping,25 May 2017,24 Jun 2017,30,348,12,saas,0,2742420,N/A,N/A,0.28,2,8,10437,N/A,0.425,407237,-0.19,0.03,0.48,0.48,-0.083,nan,0.013
lampix,9 Aug 2017,18 Aug 2017,9,293,1,saas,13,14200000,59166667,0.24,0.26,1679,1,3364,0.4,-0.634,29039,0.07,0.06,0.89,0.89,-0.122,nan,0.006
hush,02 May 2018,10 Jun 2018,39,-3,5,blockchain,12,N/A,N/A,0,0.817,631,2,775,0.46,-0.949,69,0.01,0.16,2.51,2.51,-0.123,nan,0.03
starbase,9 Nov 2017,24 Nov 2017,15,195,8,saas,5,8842000,10047727,0.88,0.1,N/A,1,182,0.64,0.078,11977,0.31,0.15,2.32,2.32,1.78,nan,0.247
1world,5 Oct 2017,6 Nov 2017,32,213,1,blockchain,66,5000000,N/A,N/A,1.2,6894,1,7403,0.42,-0.657,357311,-0.08,-0.01,-0.12,-0.12,-0.081,nan,0.005
sense,7 Nov 2017,21 Nov 2017,14,198,1,telecommunications,7,15000000,15000000,1,0.1,2418,1,9018,0.44,-0.433,13019,0.03,-0.16,-2.58,-2.58,-0.277,nan,-0.002
vezt,4 Nov 2017,3 Dec 2017,29,186,1,entertainment,19,1378806,15320067,0.09,0.5,2818,1,5363,0.54,5.32,2379180,-0.14,-0.13,-2.04,-2.04,-0.521,nan,-0.009
tokenbox,14 Nov 2017,28 Nov 2017,14,191,2,saas,8,8000000,20000000,0.4,1,1964,1,2421,0.76,0.5,116601,-0.15,-0.12,-1.91,-1.91,0.075,nan,-0.006
mywish,25 Oct 2017,25 Nov 2017,31,194,2,other,8,2670000,2696970,0.99,0.23,2352,1,4013,N/A,0.354,305113,0.14,0.18,2.8,2.8,0.268,nan,0.007
reftoken,17 Nov 2017,17 Dec 2017,30,172,5,fintech,8,N/A,48000000,N/A,14,2863,1,4169,N/A,-0.506,129535,0.22,0.1,1.57,1.57,-0.09,nan,0.03
parkgene,15 Jan 2018,19 Mar 2018,63,80,7,fintech,5,24335000,34764286,0.7,0.1,6839,4,775,0.6,-0.874,58791,-0.13,-1.05,-2.1,-2.1,-0.407,nan,-0.014
syncfab,15 Feb 2018,15 Mar 2018,28,84,1,saas,9,9155717,19903733,0.46,0.12,10079,5,N/A,0.58,-0.612,48703,0.02,0.14,0.28,0.28,-0.721,nan,-0.008
aigang,15 Nov 2017,15 Dec 2017,30,174,7,fintech,7,4228920,30206571,0.14,0.31,4738,1,7820,0.7,12.097,16206500,-0.22,-0.26,-4.06,-4.06,-0.228,nan,-0.018
bonpay,31 Oct 2017,28 Nov 2017,28,191,4,fintech,4,10000000,N/A,N/A,0.9,965,2,10042,N/A,1.144,4834,-0.02,0,0.04,0.04,-0.099,nan,0
copytrack,10 Dec 2017,10 Feb 2018,62,117,5,fintech,4,11087368,61596489,0.18,1.19,8407,5,N/A,N/A,-0.648,85931,-0.1,-0.02,-0.35,-0.35,0.282,nan,-0.005
ethorse,10 Jan 2018,17 Jan 2018,7,141,7,other,N/A,4800000,N/A,N/A,N/A,N/A,1,1290,0.34,0,523864,0.01,0.03,0.4,0.4,-0.072,nan,-0.002
daneel,29 Jan 2018,5 Mar 2018,35,94,5,fintech,15,2830400,15724444,0.18,0.29,6216,4,N/A,0.68,-0.833,130556,0.37,2.97,5.94,5.94,2.738,nan,0.07
blitzpredict,22 Jan 2018,22 Feb 2018,31,105,12,other,5,4374000,7290000,0.6,0.0292,13714,1,N/A,0.52,-0.677,48405,-0.04,0.08,1.21,1.21,0.345,nan,0.018
chainium,25 Dec 2017,12 Jan 2018,18,146,5,fintech,6,3434946,5540235,0.62,0.0664,N/A,1,76,0.54,0.594,70198,0.07,0.52,1.04,1.04,0.598,nan,-0.008
ethbits,15 Apr 2017,13 May 2017,28,390,4,saas,3,1216178,N/A,N/A,1.14,6090,1,5576,N/A,0.921,3027,0.06,0.25,3.94,3.94,30.707,nan,1.998
mercury-protocol,23 Oct 2017,23 Nov 2017,31,196,1,saas,16,4749479,19789496,0.24,0.043,738,N/A,5434,0.68,-0.07,42740,0.15,0.09,1.47,1.47,-0.034,nan,0.018
micromoney,18 Oct 2017,18 Nov 2017,31,201,12,fintech,18,10541585,30118814,0.35,1,5139,2,165863,N/A,-0.326,452417,0.31,0.09,1.47,1.47,-0.158,nan,0
biotron,27 Mar 2018,05 Apr 2018,9,63,12,other,N/A,N/A,N/A,N/A,0.22,2436,1,N/A,0.46,-0.814,955,0.16,1.3,2.61,2.61,0.182,nan,0.014
signals-network,12 Mar 2018,09 Apr 2018,28,59,12,other,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,233052,0,0,0,0,0.215,nan,0.001
coinlancer,14 Oct 2017,15 Nov 2017,32,204,12,saas,36,11860153,49417304,0.24,0.25,7177,5,2293,0.5,0.691,3536710,0.03,-0.09,-1.49,-1.49,-0.219,nan,-0.008
obsidian,12 Aug 2017,26 Aug 2017,14,285,4,saas,6,1566332,8701844,0.18,0.15,796,4,8841,0.62,1.49,262223,0.12,0.15,2.45,2.45,-0.033,nan,0.004
pylon-network,4 Oct 2017,24 Oct 2017,20,226,5,energy,11,N/A,N/A,N/A,1.79,1513,1,4003,N/A,12.201,69585,0.11,0.02,0.25,0.25,-0.392,nan,0.003
fabric-token,15 Feb 2018,1 Apr 2018,45,67,5,blockchain,11,1035986,8633217,0.12,0.1125,5363,0,1545,0.42,-0.172,83004,0.81,1.4,2.8,2.8,-4.494,nan,0.012
verify,29 Nov 2017,06 Dec 2017,7,183,7,saas,9,2500000,2500000,1,0.23,3537,1,508,N/A,1.44,803439,0.32,0.12,1.86,1.86,0.171,nan,0.009
goldmint,20 Sep 2017,11 Nov 2017,52,208,2,fintech,11,7300000,40555556,0.18,7,11115,10,2597,0.46,-0.634,74776,0.24,0.16,2.47,2.47,0.146,nan,0.007
tokenstars,31 Aug 2017,31 Oct 2017,61,219,7,other,4,4901220,7540338,0.65,0.42,17611,1,N/A,0.56,-0.165,409248,-0.28,-2.18,-4.37,-4.37,0.06,nan,-0.028
chronologic,25 Aug 2017,25 Sep 2017,31,255,12,fintech,3,7400000,N/A,N/A,0.1,N/A,1,N/A,0.3,108.4,23084,-0.02,0,-0.02,-0.02,-0.007,nan,0.012
trakinvest,8 Feb 2018,7 Mar 2018,27,92,7,fintech,14,50000000,N/A,N/A,N/A,38261,2,475,N/A,0,262810,-0.01,-0.1,-0.2,-0.2,-0.332,nan,-0.009
transcodium,1 Mar 2018,30 Apr 2018,60,38,4,saas,7,10977534,29669011,0.37,0.376,6141,1,N/A,0.52,-0.625,488145,-0.19,-1.5,-3,-3,-0.778,nan,-0.026
ethersportz,9 Jan 2018,10 Jan 2018,1,148,1,entertainment,6,3500000,3500000,1,0.5,1755,1,N/A,N/A,0.123,71545,0.12,0.04,0.57,0.57,1.032,nan,0.015
live-stars,15 Jan 2018,15 Feb 2018,31,112,5,saas,6,2518564,5037128,0.5,0.2,2715,1,7684,0.5,-0.602,144179,-0.06,-0.46,-0.92,-0.92,-0.183,nan,-0.015
hirematch,1 Oct 2017,15 Feb 2018,137,112,1,fintech,4,16000000,N/A,N/A,0.17,N/A,4,1943,0.28,-0.832,98386,0.03,0.16,2.52,2.52,-0.107,nan,0.01
phi-token,8 Mar 2018,21 Mar 2018,13,78,5,other,16,3800000,N/A,N/A,1.61803,26092,1,3790,0.2,-0.631,58338,-0.09,-0.69,-1.38,-1.38,0.191,nan,-0.003
skincoin,21 Jun 2017,21 Jul 2017,30,321,2,blockchain,5,3292183,9976312,0.33,0.04,731,7,6694,N/A,-0.08,9042,-0.18,0,0,0,-0.346,nan,0.01
soma,27 Sep 2017,14 Nov 2017,48,205,5,ecommerce,11,6049621,40330807,0.15,0.74,3818,2,5051,0.54,-0.686,6114,0.39,0.15,2.37,2.37,-0.24,nan,0.025
qvolta,10 Oct 2017,20 Oct 2017,10,230,7,blockchain,4,729652,4560325,0.16,0.3,1593,1,1,N/A,0.064,40141,0.06,0.14,2.28,2.28,0.109,nan,0.017
darcrus,21 Dec 2016,26 Dec 2016,5,528,12,saas,1,29742,129313,0.23,0.02,1536,1,9388,N/A,0.05,6268,0.36,0.17,2.66,2.66,0.97,nan,0.016
emphy,7 Oct 2017,5 Nov 2017,29,214,5,real estate,5,44500,4450000,0.01,0.1,13697,1,13111,N/A,1.42,100754,0.14,0.24,3.84,3.84,0.045,nan,0.032
crycash,12 Dec 2017,31 Jan 2018,50,127,5,blockchain,6,N/A,N/A,N/A,N/A,3111,3,1438,0.42,0,50581,0.07,0.57,1.14,1.14,0.148,nan,-0.005
nitro,30 Nov 2017,26 Dec 2017,26,163,3,saas,11,2694156,53883120,0.05,0.97,16005,1,3791,0.84,0.577,131540,0.07,0.07,1.18,1.18,-0.371,nan,0.028
neverdie,30 Jun 2017,1 Sep 2017,63,279,1,entertainment,2,5800000,10000000,0.58,0.25,15,6,1487,N/A,-0.193,43022,-0.08,-0.16,-2.59,-2.59,-0.257,nan,0.006
wild-crypto,05 Sep 2017,11 Sep 2017,6,269,12,other,N/A,N/A,N/A,N/A,N/A,617,N/A,N/A,N/A,0,4468,0.03,0.13,2.08,2.08,-0.286,nan,0.02
boutspro,11 Mar 2018,25 Mar 2018,14,74,4,blockchain,32,N/A,N/A,N/A,N/A,12606,1,9825,N/A,0,100240,0.04,0.3,0.6,0.6,-0.265,nan,0
authorship,15 Aug 2017,14 Sep 2017,30,266,1,telecommunications,1,N/A,7000000,N/A,0.04,159,1,11699,N/A,-0.287,12714,0.1,0.11,1.74,1.74,-0.111,nan,0.024
earth-token,15 Dec 2017,15 Mar 2018,90,84,11,saas,11,20000000,N/A,N/A,0.16,12934,N/A,20203,0.22,-0.699,509033,-0.36,-2.82,-5.64,-5.64,-0.272,nan,-0.042
tigereum,8 Dec 2017,18 Dec 2017,10,171,4,saas,15,N/A,12000000,N/A,0.8,N/A,2,3554,N/A,-0.819,195263,0.29,0.14,2.27,2.27,-0.128,nan,0.022
bitjob,12 Sep 2017,13 Oct 2017,31,237,12,saas,26,2726424,12000000,0.23,0.39,2182,1,6902,0.62,-0.733,67138,-0.15,0.14,2.26,2.23,-0.182,0.278,0.013
wandx,27 Oct 2017,21 Nov 2017,25,198,7,other,6,86654,N/A,N/A,0.09,2366,1,6412,0.34,4.727,90663,0.3,0.04,0.6,0.6,0.327,nan,0.01
blocklancer,16 Jan 2018,16 Feb 2018,31,111,5,fintech,5,30000010,90909121,0.33,0.09,N/A,1,50,0.68,-0.795,34683,0.24,0.1,1.62,1.62,0.902,nan,0.016
plancoin,24 Jan 2018,23 Feb 2018,30,104,12,blockchain,N/A,1700000,N/A,N/A,0.6,N/A,1,1908,N/A,-0.584,282642,0.03,0.21,0.41,0.41,0.724,nan,0
fundyourselfnow,13 Jun 2017,31 Jul 2017,48,311,12,other,9,N/A,N/A,N/A,N/A,5172,0,N/A,N/A,0,27307,0.24,0.14,2.2,2.2,0.169,nan,0.017
global-jobcoin,28 Oct 2017,6 Dec 2017,39,183,6,saas,4,N/A,N/A,N/A,1.31,N/A,2,12037,N/A,-0.817,14648,0.14,0.13,2.13,2.13,-0.064,nan,0.082
mcap,27 Apr 2017,7 May 2017,10,396,1,blockchain,N/A,44287318,N/A,N/A,4,N/A,1,153,N/A,0.635,3797,-0.1,-0.14,-2.3,-2.3,0.034,nan,-0.003
suretly,11 Jul 2017,11 Aug 2017,31,300,2,fintech,6,28000001,N/A,N/A,30.93,N/A,1,1297,0.54,-0.578,12585,-0.12,-0.04,-0.67,-0.67,-0.024,nan,0.005
oceanlab,07 Aug 2017,31 Aug 2017,24,280,12,blockchain,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,29066,0.34,0.17,2.64,2.64,-0.144,nan,0.008
bitair,17 Sep 2017,31 Oct 2017,44,219,12,other,N/A,21510000,N/A,N/A,0.019,N/A,1,N/A,0.4,-0.239,209739,0.14,-0.02,-0.32,-0.32,-0.223,nan,0.001
pluscoin,26 Sep 2017,10 Oct 2017,14,240,8,blockchain,13,9598000,N/A,N/A,1.49,118,7,248,0.22,-0.999,67444,-0.11,0.08,1.23,1.23,-0.729,nan,0.053
escroco,30 Oct 2017,28 Nov 2017,29,191,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,0.22,30.9,515908,0.18,0.03,0.49,0.44,-0.124,6.545,0.015
peerguess,28 Oct 2017,09 Dec 2017,42,180,12,saas,13,N/A,N/A,N/A,N/A,1065,0,2049,N/A,0,42120,-0.24,-0.06,-1.02,-1.07,-0.264,18.955,0.023
fujinto,10 Aug 2017,10 Sep 2017,31,270,8,blockchain,4,17566200,29277000,0.6,0.07,N/A,1,953,0.24,4.452,580241,-0.34,-0.24,-3.74,-3.74,0.323,nan,-0.001
srcoin,1 Mar 2018,31 Mar 2018,30,68,12,insurance services,11,4000000,N/A,N/A,N/A,1219,1,965,0.26,0,132146,0.04,0.31,0.63,0.63,-0.657,nan,-0.007
ecobit,9 Apr 2017,15 Jun 2017,67,357,12,other,N/A,N/A,N/A,N/A,0.03,288,2,1125,N/A,0.078,41297,-0.03,0,0,0,-0.145,nan,0.009
hedge,15 Sep 2017,15 Oct 2017,30,235,5,blockchain,9,2100000,15000000,0.14,0.67,N/A,3,3785,N/A,0.063,35573,0.16,0.13,2.06,2.06,-0.21,nan,0.06
apx,1 May 2017,21 May 2017,20,382,12,blockchain,N/A,2749185,2749185,1,0.6,N/A,1,5254,N/A,4.267,714525,0.21,0.07,1.18,1.18,-0.098,nan,0.008
real,31 Aug 2017,30 Sep 2017,30,250,7,real estate,4,10604571,33139284,0.32,1.38,2002,7,4513,0.52,-0.268,13785,0,-0.02,-0.34,-0.34,0.109,nan,0.016
clearcoin,16 Nov 2017,31 Mar 2018,135,68,1,other,17,4350000,N/A,N/A,0.01,25036,3,N/A,0.52,0.551,93524,0.07,-0.04,-0.6,-0.6,0.404,nan,-0.004
blockpool,01 May 2017,30 Jun 2017,60,342,12,other,10,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,0,39542,-0.11,0.18,2.93,2.93,-0.023,nan,0.011
flypme,19 Sep 2017,26 Sep 2017,7,261,5,other,1,1610000,N/A,N/A,0.07,22,1,N/A,0.38,1.578,15603,0.1,0.21,3.3,3.3,-0.539,nan,0.021
eventchain,13 Sep 2017,14 Oct 2017,31,236,1,entertainment,8,772896,12881600,0.06,1.47,N/A,1,26721,0.44,-0.887,1884,0.21,0.17,2.74,2.74,-0.525,nan,0.037
centra,03 Aug 2017,02 Oct 2017,60,248,1,fintech,19,26100000,26100000,1,0.73,1191,5,48,0.56,-0.527,2484,0.24,0.14,2.22,2.22,0.789,nan,0.039
farad,1 Oct 2017,31 Oct 2017,30,219,12,energy,11,N/A,N/A,N/A,0.13,76,1,3419,0.56,-0.395,39680,0.05,0.12,1.95,1.95,-0.121,nan,0.012
musiconomi,27 Aug 2017,27 Sep 2017,31,253,12,other,6,N/A,N/A,N/A,0.01,N/A,1,N/A,0.46,10.468,735,0.09,0.12,1.87,1.87,-0.007,nan,0.021
etheriya,21 Jun 2017,10 Aug 2017,50,301,12,saas,N/A,30000,35294,0.85,0.25,N/A,2,603,N/A,5.4,23481,0.18,0.02,0.34,0.34,1.309,nan,0.042
elcoin,08 Jan 2018,05 Feb 2018,28,122,5,saas,18,N/A,30000000,N/A,N/A,690,1,4488,N/A,0,11,-0.12,0.16,2.61,2.61,321.569,nan,37.664
monster-byte,6 Jul 2017,4 Aug 2017,29,307,10,entertainment,2,10000002,10000002,1,0.11,N/A,2,2212,0.44,-0.271,16860,0.13,0.13,2.1,2.1,0.443,nan,0.026
bitpark-coin,15 Sep 2016,20 Oct 2016,35,595,8,fintech,1,29195,N/A,N/A,0.1,N/A,0,1112,N/A,-0.817,103,-0.02,0.08,1.2,1.2,0.494,nan,0.022
blockpay,23 Aug 2016,15 Sep 2016,23,630,6,saas,1,53836010,N/A,N/A,0.12,N/A,2,N/A,N/A,0.762,483,-0.17,-0.01,-0.13,-0.13,0.456,nan,0.028
regalcoin,22 Aug 2017,22 Sep 2017,31,258,12,blockchain,N/A,N/A,N/A,N/A,0.97,5485,1,9613,N/A,10.742,3808740,0.4,0.22,3.52,3.52,-0.259,nan,-0.005
crystal-clear,8 Sep 2017,8 Oct 2017,30,242,2,transportation,7,3377550,N/A,N/A,3.09,N/A,1,4546,N/A,-0.1,21319,-0.14,-0.02,-0.39,-0.39,-0.5,nan,0.018
tigercoin,25 Feb 2018,25 Mar 2018,28,74,12,fintech,N/A,N/A,N/A,N/A,N/A,506,0,N/A,0.32,0,0,-0.24,-0.13,-2.12,-2.12,-0.252,nan,0.046
ccore,9 Nov 2017,30 Nov 2017,21,189,12,fintech,8,1400000,N/A,N/A,0.45,2024,1,3988,0.26,1.163,15228,0.11,0.12,1.84,1.84,0.247,nan,0.043
bankcoin,5 Nov 2016,19 Dec 2016,44,535,10,fintech,2,1000000,6250000,0.16,0.25,20,1,2528,N/A,0.998,47742,0.11,0.23,3.65,3.65,0.229,nan,0.066
300-token,30 Jun 2017,6 Jul 2017,6,336,12,blockchain,N/A,16724,23891,0.7,79.76,N/A,1,850,N/A,7.334,22581,-0.15,0.03,0.48,0.48,0.569,nan,0.016
newbium,1 May 2016,31 May 2016,30,737,12,saas,N/A,38180,636333,0.06,N/A,N/A,1,3287,N/A,0,11,0.27,0.22,3.51,3.51,-0.104,nan,0.087
abjcoin,1 Sep 2017,30 Oct 2017,59,220,12,blockchain,10,N/A,1290000,N/A,0.5,1810,1,N/A,0.28,0.183,87523,0.09,0.23,3.57,3.57,0.351,nan,0.11
bolenum,15 Jul 2017,14 Aug 2017,30,297,12,blockchain,N/A,19121,N/A,N/A,5.98,N/A,3,54542,0.42,-0.996,13218,-0.1,0.12,1.85,1.85,1.08,nan,0.03
copico,16 Oct 2017,16 Nov 2017,31,203,12,blockchain,2,N/A,N/A,N/A,0.006,1266,1,N/A,0.32,2.748,107543,0.05,0.22,3.42,3.42,0.152,nan,0.024
icobid,09 Dec 2016,09 Jan 2017,31,514,12,other,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,0,808,0.25,0.14,2.2,2.2,0.784,nan,0.027
iconic,01 Mar 2018,31 Mar 2018,30,68,12,fintech,N/A,N/A,N/A,N/A,N/A,2922,1,N/A,0.28,0,180,0.24,0.16,2.48,2.48,0.493,nan,0.035
apis,4 Mar 2018,3 Apr 2018,30,65,7,blockchain,21,N/A,N/A,N/A,N/A,N/A,0,N/A,0.2,0,4766240,1.44,2.49,4.99,4.99,-6.189,nan,0.092
libra-credit,01 May 2018,01 Jun 2018,31,6,7,fintech,10,26400000,26400000,1,0.1,96901,N/A,N/A,0.56,1.986,4569100,-1.08,-1.86,-3.73,-3.73,-0.689,nan,-0.027
skrumble-network,05 May 2018,07 May 2018,2,31,12,fintech,31,16472800,16472800,1,0.0515,54602,N/A,2016,0.3,0.873,32789700,-0.17,-1.35,-2.69,-2.69,-0.854,nan,-0.016
pundi-x,21 Jan 2018,21 Jan 2018,0,137,12,saas,4,35000000,35000000,1,2.1,23178,N/A,5627,0.86,-1,970635,-0.19,0.29,4.53,4.53,-0.669,nan,0.037
educoin,18 Mar 2018,25 Mar 2018,7,74,7,social services,4,N/A,N/A,N/A,N/A,373,1,7,N/A,0,4,0.22,0.16,2.51,2.51,14.705,nan,0.744
bankera,27 Nov 2017,27 Feb 2018,92,100,5,fintech,7,150949194,215641706,0.7,0.02,20616,N/A,25421,0.48,-0.481,2604320,-6.25,-10.82,-21.65,-21.65,-2.2,nan,-0.086
bezant,,11 May 2018,8,27,7,blockchain,32,27500000,39855072,0.69,0.1,5329,N/A,1917,N/A,1.1,1779890,-0.11,-0.88,-1.75,-1.75,-0.323,nan,-0.012
crowd-machine,01 Apr 2018,22 May 2019,416,-349,7,saas,13,30638000,100000000,0.30638,N/A,6055,N/A,5214,0.6,0,220487,-0.28,-2.2,-4.39,-4.39,0.474,nan,-0.012
gems,30 Jan 2018,01 Feb 2018,2,126,12,fintech,2,N/A,N/A,N/A,0.075,32582,2,19555,0.52,-0.689,4746,-0.07,0.01,0.16,0.16,-0.958,nan,0.159
phantasma,27 May 2018,28 May 2018,1,10,12,other,13,9650000,9747475,0.99,0.23,20891,N/A,5379,N/A,1.476,799685,0.33,0.57,1.14,1.14,-1.687,nan,0.012
aware,04 Jan 2018,30 Jan 2018,26,128,12,fintech,N/A,N/A,N/A,N/A,0.063,593,1,N/A,0.32,0.495,1391910,-0.31,-0.19,-2.96,-2.96,-0.013,nan,-0.003
cfun,18 Dec 2017,19 Dec 2017,1,170,7,saas,9,15000000,15000000,1,0.03,4567,1,5559,N/A,2.506,14156000,-0.17,-0.18,-2.79,-2.79,0.077,nan,-0.006
exchange-union,05 Aug 2017,29 Aug 2017,24,282,12,other,4,N/A,N/A,N/A,1,N/A,N/A,N/A,0.66,1.29,304953,0.19,0.19,3,3,-0.115,nan,0.01
key,23 Sep 2017,23 Oct 2017,30,227,12,fintech,N/A,21780000,N/A,N/A,0.01,N/A,2,N/A,0.34,0.063,496995,-0.18,-1.41,-2.81,-2.81,0.205,nan,-0.006
silent-notary,15 Mar 2018,12 Apr 2018,28,56,2,blockchain,4,N/A,N/A,N/A,0,30710,0,6825,0.32,0,339139,1.69,2.92,5.85,5.85,-1.712,nan,0.094
patron,27 Mar 2018,9 May 2018,43,29,8,saas,26,40000000,40000000,1,0.5,14469,0,21693,0.64,-0.864,933787,0.29,0.5,1.01,1.01,-2.776,nan,0.008
stockchain,16 Mar 2018,19 Mar 2018,3,80,7,other,18,2693450,N/A,N/A,N/A,87153,1,55766,N/A,0,271642,0.31,-0.03,-0.52,-0.52,-0.165,nan,-0.004
seele,03 Apr 2018,03 Apr 2018,0,65,12,blockchain,N/A,12133800,12133800,1,0.0324,28796,N/A,N/A,0.72,8.3,1750560,-0.72,-1.25,-2.51,-2.51,-1.246,nan,-0.008
