coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
goldmint,20 Sep 2017,11 Nov 2017,52,204,2,fintech,11,7300000,40000000,0.18,7,11108,10,2600,-0.634,74776,0.24,0.16,2.47,2.47,0.159,35.5,0.007
trakinvest,8 Feb 2018,7 Mar 2018,27,88,7,fintech,14,50000000,N/A,N/A,0.85,38445,2,471,-0.849,262810,-0.01,-0.1,-0.2,-0.2,-0.35,-19.5,0.001
hirematch,1 Oct 2017,15 Feb 2018,137,108,1,fintech,4,16000000,N/A,N/A,0.17,N/A,4,1936,-0.832,98386,0.03,0.16,2.52,2.52,-0.05,-2.5,0.015
emphy,7 Oct 2017,5 Nov 2017,29,210,5,real estate,5,44500,7260000,0.01,0.1,13667,1,13012,1.42,100754,0.14,0.24,3.84,3.84,0.057,-7,0.032
obsidian,12 Aug 2017,26 Aug 2017,14,281,4,saas,6,1566332,8820000,0.18,0.15,801,4,8829,1.49,262223,0.12,0.15,2.45,2.45,-0.033,-0.5,0.004
live-stars,15 Jan 2018,15 Feb 2018,31,108,5,saas,6,2518564,5000000,0.5,0.2,2737,1,7813,-0.602,144179,-0.06,-0.46,-0.92,-0.92,-0.1,-2.5,-0.014
ethersportz,9 Jan 2018,10 Jan 2018,1,144,1,entertainment,6,3500000,3500000,1,0.5,1777,1,N/A,0.123,71545,0.12,0.04,0.57,0.57,1.06,1.5,0.017
chronologic,25 Aug 2017,25 Sep 2017,31,251,12,fintech,3,7400000,N/A,N/A,0.1,N/A,1,N/A,108.4,23084,-0.02,0,-0.02,-0.02,-0.011,7.5,0.012
crycash,12 Dec 2017,31 Jan 2018,50,123,5,blockchain,6,N/A,N/A,N/A,1.1,3120,3,1433,-0.574,50581,0.07,0.57,1.14,1.14,0.135,4,-0.003
darcrus,21 Dec 2016,26 Dec 2016,5,524,12,saas,1,29742,N/A,0.23,0.02,1544,1,9389,0.05,6268,0.36,0.17,2.66,2.66,-0.502,-15.5,0.024
skincoin,21 Jun 2017,21 Jul 2017,30,317,2,blockchain,5,3292183,10000000,0.33,0.04,731,7,6712,-0.08,9042,-0.18,0,0,0,-0.348,-6,0.01
qvolta,10 Oct 2017,20 Oct 2017,10,226,7,blockchain,4,729652,4700000,0.16,0.3,1599,1,1,0.064,40141,0.06,0.14,2.28,2.28,0.104,-18,0.017
farad,1 Oct 2017,31 Oct 2017,30,215,12,energy,11,N/A,N/A,N/A,0.13,76,1,3419,-0.395,39680,0.05,0.12,1.95,1.95,-0.126,8,0.012
transcodium,1 Mar 2018,30 Apr 2018,60,34,4,saas,7,10977534,30000000,0.37,0.376,6174,1,N/A,-0.625,488145,-0.19,-1.5,-3,-3,-0.92,-20.5,-0.026
biotron,27 Mar 2018,05 Apr 2018,9,59,12,other,N/A,N/A,N/A,N/A,0.22,2438,1,N/A,-0.814,955,0.16,1.3,2.61,2.61,0.328,-0.5,0.015
earth-token,15 Dec 2017,15 Mar 2018,90,80,11,saas,11,N/A,N/A,N/A,0.16,13052,3,20266,-0.699,509033,-0.36,-2.82,-5.64,-5.64,-0.269,-1,-0.044
tigereum,8 Dec 2017,18 Dec 2017,10,167,4,saas,15,N/A,12000000,N/A,0.067,N/A,2,3585,1.166,195263,0.29,0.14,2.27,2.27,-0.129,-16.5,0.021
phi-token,8 Mar 2018,21 Mar 2018,13,74,5,other,16,3800000,N/A,N/A,1.61803,26276,1,3815,-0.631,58338,-0.09,-0.69,-1.38,-1.38,0.162,-1.5,-0.01
bitjob,12 Sep 2017,13 Oct 2017,31,235,12,saas,26,2726424,12000000,0.23,0.39,2181,1,6866,-0.733,67138,-0.15,0.14,2.26,2.22,-0.183,0.252,0.014
soma,27 Sep 2017,14 Nov 2017,48,201,5,ecommerce,11,6049621,39800000,0.15,0.74,2133,2,4962,-0.686,6114,0.39,0.15,2.37,2.37,-0.246,33,0.024
wild-crypto,05 Sep 2017,11 Sep 2017,6,265,12,other,N/A,N/A,N/A,N/A,N/A,611,1,N/A,0,4468,0.03,0.13,2.08,2.08,-0.282,-3,0.02
blocklancer,16 Jan 2018,16 Feb 2018,31,107,5,fintech,5,30000010,90000000,0.33,0.09,N/A,1,50,-0.795,34683,0.24,0.1,1.62,1.62,0.984,-1,0.02
boutspro,11 Mar 2018,25 Mar 2018,14,70,4,blockchain,32,N/A,7000000,N/A,0.007,13017,1,9845,2.189,100240,0.04,0.3,0.6,0.6,-0.422,-4.5,-0.003
fundyourselfnow,13 Jun 2017,31 Jul 2017,48,307,12,other,9,N/A,N/A,N/A,N/A,5173,0,N/A,0,27307,0.24,0.14,2.2,2.2,0.174,-7.5,0.017
nitro,30 Nov 2017,26 Dec 2017,26,159,3,saas,11,2694156,58000000,0.05,0.97,16090,1,3739,0.577,131540,0.07,0.07,1.18,1.18,-0.378,3.5,0.027
plancoin,24 Jan 2018,23 Feb 2018,30,100,12,blockchain,N/A,1700000,N/A,N/A,0.6,N/A,1,1909,-0.584,282642,0.03,0.21,0.41,0.41,0.801,16,0
elcoin,08 Jan 2018,05 Feb 2018,28,118,5,saas,18,N/A,30000000,N/A,N/A,690,1,4519,0,11,-0.12,0.16,2.61,2.61,98.761,-15,37.659
suretly,11 Jul 2017,11 Aug 2017,31,296,2,fintech,6,28000001,N/A,N/A,30.93,N/A,1,1292,-0.578,12585,-0.12,-0.04,-0.67,-0.67,-0.024,-8,0.005
mcap,27 Apr 2017,7 May 2017,10,392,1,blockchain,N/A,44287318,N/A,N/A,4,N/A,1,152,0.635,3797,-0.1,-0.14,-2.3,-2.3,0.035,-1.5,-0.003
oceanlab,07 Aug 2017,31 Aug 2017,24,276,12,blockchain,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,29066,0.34,0.17,2.64,2.64,-0.144,-2,0.009
pluscoin,26 Sep 2017,10 Oct 2017,14,236,8,blockchain,13,9598000,N/A,N/A,1.49,117,7,247,-0.999,67444,-0.11,0.08,1.23,1.23,-0.737,-35,0.054
bitair,17 Sep 2017,31 Oct 2017,44,215,12,other,N/A,21510000,N/A,N/A,0.019,N/A,1,N/A,-0.239,209739,0.14,-0.02,-0.32,-0.32,-0.219,1.5,0.003
regalcoin,22 Aug 2017,22 Sep 2017,31,254,12,blockchain,N/A,N/A,N/A,N/A,0.97,5521,1,9579,10.742,3808740,0.4,0.22,3.52,3.52,-0.253,7,-0.005
crystal-clear,8 Sep 2017,8 Oct 2017,30,238,2,transportation,7,3377550,N/A,N/A,3.09,N/A,1,4524,-0.1,21319,-0.14,-0.02,-0.39,-0.39,-0.499,-8.5,0.019
ccore,9 Nov 2017,30 Nov 2017,21,185,12,fintech,8,1400000,N/A,N/A,0.45,2042,1,3928,1.163,15228,0.11,0.12,1.84,1.84,0.253,15.5,0.04
fujinto,10 Aug 2017,10 Sep 2017,31,266,8,blockchain,4,17566200,N/A,0.6,0.07,N/A,1,943,4.452,580241,-0.34,-0.24,-3.74,-3.74,0.353,38,0.002
peerguess,28 Oct 2017,09 Dec 2017,42,178,12,saas,13,N/A,N/A,N/A,0.06,1064,0,2036,1.448,42120,-0.24,-0.06,-1.02,-1.08,-0.26,18.885,0.024
hedge,15 Sep 2017,15 Oct 2017,30,231,5,blockchain,9,2100000,15000000,0.14,0.67,N/A,3,3781,0.063,35573,0.16,0.13,2.06,2.06,-0.663,-30.5,0.064
srcoin,1 Mar 2018,31 Mar 2018,30,64,12,insurance services,11,4000000,N/A,N/A,0.006,1236,1,953,-0.185,132146,0.04,0.31,0.63,0.63,4.41,-1,0.023
ecobit,9 Apr 2017,15 Jun 2017,67,353,12,other,N/A,N/A,N/A,N/A,0.03,286,2,1126,0.078,41297,-0.03,0,0,0,0.212,4,0.007
apx,1 May 2017,21 May 2017,20,378,12,blockchain,N/A,2749185,900,1,0.6,N/A,1,5255,4.267,714525,0.21,0.07,1.18,1.18,0.055,1,0.007
blockpool,01 May 2017,30 Jun 2017,60,338,12,other,10,N/A,N/A,N/A,N/A,N/A,1,N/A,0,39542,-0.11,0.18,2.93,2.93,-0.065,3,0.012
starta,4 Jul 2017,3 Aug 2017,30,304,2,fintech,13,50000009,N/A,N/A,1,N/A,7,N/A,-0.204,6482,0.17,0.05,0.73,0.73,0.25,0.5,0.019
tokenbox,14 Nov 2017,28 Nov 2017,14,187,2,saas,8,8000000,20000000,0.4,1,1964,1,2412,0.5,116601,-0.15,-0.12,-1.91,-1.91,0.139,-26,-0.006
sense,7 Nov 2017,21 Nov 2017,14,194,1,telecommunications,7,15000000,15000000,1,0.1,2437,1,9019,-0.433,13019,0.03,-0.16,-2.58,-2.58,-0.061,3,-0.002
flypme,19 Sep 2017,26 Sep 2017,7,257,5,other,1,1610000,N/A,N/A,0.07,22,1,N/A,1.578,15603,0.1,0.21,3.3,3.3,0.098,-2,0.021
dcorp,01 Jun 2017,29 Jun 2017,28,339,12,fintech,4,N/A,N/A,N/A,N/A,1724,3,N/A,0,199375,-0.09,0.13,2.12,2.12,0.174,26.5,0.01
neverdie,30 Jun 2017,1 Sep 2017,63,275,1,entertainment,2,5800000,10000000,0.58,0.25,10,6,1484,-0.193,43022,-0.08,-0.16,-2.59,-2.59,0.17,2,0.005
centra,03 Aug 2017,02 Oct 2017,60,244,1,fintech,19,26100000,26100000,1,0.73,1188,5,48,-0.527,2484,0.24,0.14,2.22,2.22,-0.203,28.5,0.043
wandx,27 Oct 2017,21 Nov 2017,25,194,7,other,6,86654,N/A,N/A,0.09,2368,1,6390,4.727,90663,0.3,0.04,0.6,0.6,-0.008,6,0.009
monster-byte,6 Jul 2017,4 Aug 2017,29,303,10,entertainment,2,10000002,N/A,1,0.11,N/A,2,2202,-0.271,16860,0.13,0.13,2.1,2.1,-0.382,7.5,0.03
musiconomi,27 Aug 2017,27 Sep 2017,31,249,12,other,6,N/A,N/A,N/A,0.01,N/A,1,N/A,10.468,735,0.09,0.12,1.87,1.87,0.93,3.5,0.019
etheriya,21 Jun 2017,10 Aug 2017,50,297,12,saas,N/A,30000,N/A,0.85,0.25,N/A,2,595,5.4,23481,0.18,0.02,0.34,0.34,1.004,-7,0.043
global-jobcoin,28 Oct 2017,6 Dec 2017,39,179,6,saas,4,N/A,N/A,N/A,1.31,N/A,2,12061,-0.817,14648,0.14,0.13,2.13,2.13,-0.964,62,0.081
bitpark-coin,15 Sep 2016,20 Oct 2016,35,591,8,fintech,1,29195,N/A,N/A,0.1,N/A,0,1110,-0.817,103,-0.02,0.08,1.2,1.2,0.117,-8,0.024
newbium,1 May 2016,31 May 2016,30,733,12,saas,N/A,38180,600000,0.06,N/A,N/A,1,3274,0,11,0.27,0.22,3.51,3.51,0.299,9,0.086
blockpay,23 Aug 2016,15 Sep 2016,23,626,6,saas,1,53836010,N/A,N/A,0.12,N/A,2,N/A,0.762,483,-0.17,-0.01,-0.13,-0.13,0.267,-13.5,0.029
escroco,30 Oct 2017,28 Nov 2017,29,189,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,30.9,515908,0.18,0.03,0.49,0.44,-0.125,6.359,0.017
tigercoin,25 Feb 2018,25 Mar 2018,28,70,12,fintech,N/A,N/A,N/A,N/A,N/A,504,0,N/A,0,0,-0.24,-0.13,-2.12,-2.12,-1.074,5.5,0.049
bankcoin,5 Nov 2016,19 Dec 2016,44,531,10,fintech,2,1000000,N/A,0.16,0.25,20,1,2529,0.998,47742,0.11,0.23,3.65,3.65,0.431,-2,0.066
300-token,30 Jun 2017,6 Jul 2017,6,332,12,blockchain,N/A,16724,N/A,0.7,79.76,N/A,1,822,7.334,22581,-0.15,0.03,0.48,0.48,-0.14,2,0.019
abjcoin,1 Sep 2017,30 Oct 2017,59,216,12,blockchain,10,N/A,1290000,N/A,0.5,1816,1,N/A,0.183,87523,0.09,0.23,3.57,3.57,0.667,-41,0.111
libra-credit,01 May 2018,01 Jun 2018,31,2,7,fintech,10,26400000,26400000,1,0.12,97530,1,N/A,1.488,4569100,-1.07,-1.86,-3.72,-3.72,1.12,10.5,-0.017
skrumble-network,05 May 2018,07 May 2018,2,27,12,fintech,31,16472800,16500000,1,0.0515,55048,1,1945,0.873,32789700,-0.17,-1.35,-2.69,-2.69,-0.27,5,-0.014
pundi-x,21 Jan 2018,21 Jan 2018,0,133,12,saas,4,35000000,35000000,1,2.1,22960,1,5257,-1,970635,-0.19,0.29,4.53,4.53,0.173,-2,0.041
educoin,18 Mar 2018,25 Mar 2018,7,70,7,social services,4,N/A,N/A,N/A,N/A,374,1,7,0,4,0.22,0.16,2.51,2.51,15.831,0,0.752
apis,4 Mar 2018,3 Apr 2018,30,61,7,blockchain,21,N/A,3600,N/A,0.0036,N/A,0,N/A,0.028,4766240,1.75,3.03,6.06,6.06,-3.345,21.5,0.14
aware,04 Jan 2018,30 Jan 2018,26,124,12,fintech,N/A,N/A,N/A,N/A,0.063,600,1,N/A,0.495,1391910,-0.31,-0.19,-2.96,-2.96,0.074,0.5,-0.002
crowd-machine,01 Apr 2018,22 May 2019,416,-353,7,saas,13,30795000,100000000,0.30795,N/A,6098,1,5078,0,220487,-0.28,-2.2,-4.39,-4.39,0.398,6,-0.01
spindle,9 May 2018,15 May 2018,6,19,4,blockchain,12,N/A,N/A,N/A,0.23,30540,1,23764,-0.905,2379600,0.88,1.52,3.04,3.04,1.794,6.5,0.025
silent-notary,15 Mar 2018,12 Apr 2018,28,52,2,blockchain,4,N/A,N/A,N/A,0,30358,0,6238,0,339139,2.16,3.75,7.49,7.36,-0.743,-21.667,0.135
seele,03 Apr 2018,03 Apr 2018,0,61,12,blockchain,N/A,12133800,12100000,1,0.0324,28776,1,N/A,8.3,1750560,-6.51,-11.27,-22.54,-23.73,0.605,5,-0.057
patron,27 Mar 2018,9 May 2018,43,25,8,saas,26,40000000,35000000,1,0.5,14586,0,21640,-0.864,933787,0.47,0.81,1.63,1.53,-0.494,-1,0.041
gems,30 Jan 2018,01 Feb 2018,2,122,12,fintech,2,N/A,N/A,N/A,0.075,32810,2,19368,-0.689,4746,-0.07,0.01,0.16,-0.12,-0.886,-1047,0.159
exchange-union,05 Aug 2017,29 Aug 2017,24,278,12,other,4,N/A,N/A,N/A,1,N/A,1,N/A,1.29,304953,0.19,0.19,3,2.81,0.087,1,0.01
key,23 Sep 2017,23 Oct 2017,30,223,12,fintech,N/A,21780000,N/A,N/A,0.01,N/A,2,N/A,0.063,496995,-0.18,-1.41,-2.81,-3.51,-0.224,8,-0.006
tokia,4 Dec 2017,15 Mar 2018,101,80,4,fintech,7,30000000,N/A,N/A,1,8301,0,1629,-0.813,641864,0.37,0.63,1.26,1.1,1.084,-20,0.026
cfun,18 Dec 2017,19 Dec 2017,1,166,7,saas,9,15000000,15000000,1,0.03,4572,1,5571,2.506,14156000,-0.17,-0.18,-2.79,-3.06,0.068,-3.333,-0.007
phantasma,27 May 2018,28 May 2018,1,6,12,other,13,9650000,9700000,0.99,0.23,21466,1,4887,1.476,799685,-1.35,-2.34,-4.67,-5.3,0.951,-6,-0.02
stockchain,16 Mar 2018,19 Mar 2018,3,76,7,other,18,2693450,N/A,N/A,0.011,87815,1,54750,1.704,271642,0.31,-0.03,-0.52,-0.77,0.08,-6.667,-0.004
eximchain,01 Feb 2018,13 Feb 2018,12,110,12,blockchain,16,20000000,20000000,1,0.33,10954,1,N/A,1.01,185434,3.37,5.83,11.67,11.13,-0.965,-14,0.056
xyo-network,20 Mar 2018,21 May 2018,62,13,1,other,25,11951000,48000000,0.25,0.01,16443,0,7172,-0.398,245464,-0.21,-0.37,-0.74,-0.99,-0.102,-18.667,-0.008
hero,14 Sep 2017,14 Oct 2017,30,232,5,entertainment,13,36416517,173900000,0.21,0.04,1954,0,4495,7.513,88370,-0.05,-0.09,-0.17,-0.36,-0.554,31.333,-0.006
naviaddress,1 Mar 2018,31 Mar 2018,30,64,7,saas,6,16900000,20000000,0.84,0.05,100000,1,194,-0.518,194240,-0.19,-0.32,-0.65,-1.02,-1.213,-3.333,-0.003
blockcdn,25 Nov 2016,25 Dec 2016,30,525,12,other,1,N/A,N/A,N/A,N/A,N/A,1,N/A,0,31955,0.47,0.11,1.7,1.41,0.066,-11.667,0.006
contractnet,10 Mar 2018,20 Mar 2018,10,75,3,other,10,2661505,N/A,N/A,0.6,N/A,1,1210,0.2,294035,0.49,0.86,1.71,1.47,-2.816,-1,0.06
sphre-air,1 Jun 2017,30 Jun 2017,29,338,4,saas,4,5272732,N/A,N/A,0.19,N/A,1,N/A,-0.222,10531,0.17,0.13,2.1,1.74,-0.113,1,0.004
etherecash,15 Nov 2017,12 Dec 2017,27,173,12,fintech,8,40000000,100000000,0.4,1,N/A,10,1166,-0.216,248868,-0.15,-0.12,-1.95,-2.39,0.549,73,0.008
blockmesh,28 Feb 2018,31 Mar 2018,31,64,12,blockchain,13,3486451,10000000,0.35,0.05,5117,0,12904,-0.289,87339,-0.97,-1.68,-3.36,-3.7,-0.915,-5.333,-0.03
faceter,15 Feb 2018,30 Mar 2018,43,65,11,other,9,28610352,40800000,0.7,0.0349,2094,2,51,-0.43,135291,-0.25,-0.42,-0.85,-1.34,-0.846,-1,-0.003
betterbetting,15 Dec 2017,31 Jan 2018,47,123,5,other,16,5500000,30000000,0.18,0.1,2960,1,2560,-0.1,196193,-0.04,-0.3,-0.59,-0.98,0.32,24,0.013
indicoin,30 Sep 2017,1 Nov 2017,32,214,12,blockchain,9,23000,N/A,N/A,0.02,N/A,1,21440,0.711,60496,0.16,0.05,0.73,0.56,0.334,-48.333,0.029
amon,4 Mar 2018,4 Apr 2018,31,60,5,other,8,1332600,25000000,0.05,0.05,7073,2,2447,0.264,152217,-0.43,-3.39,-6.78,-7.11,0.375,22.667,-0.026
utrum,20 May 2018,20 Jun 2018,31,-17,12,other,7,N/A,5000000,N/A,0.12,7267,1,1327,-0.249,21504,0.13,1.04,2.09,1.36,-0.429,-6,0.004
budbo,29 Jan 2018,5 Mar 2018,35,90,7,blockchain,33,30000000,52500000,0.57,0.35,3332,3,5286,-0.666,67317,0.1,0.81,1.63,1.54,0.991,4,0.017
sisa,20 Nov 2017,20 Dec 2017,30,165,12,fintech,5,N/A,N/A,N/A,0.23,722,1,2978,-0.488,32828,-0.02,0.09,1.49,1.38,-0.421,-16.667,0.03
zengold,26 May 2017,9 Jun 2017,14,359,3,saas,0,1908960,N/A,0.63,0.03,N/A,1,N/A,10.473,13093,0.18,0.17,2.64,2.57,1.968,0.333,0.154
smoke,20 Apr 2018,25 May 2018,35,9,10,telecommunications,6,25000,1900000,0.01,0.1,N/A,1,11855,-0.949,1761,0.03,0.12,1.88,1.84,3.857,2.667,0.131
plexcoin,20 Sep 2017,01 Oct 2017,11,245,12,fintech,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,27979,0.04,0.07,1.16,1.06,-0.071,-10.333,0.01
minex,15 May 2017,13 Jun 2017,29,355,2,blockchain,9,78985,N/A,N/A,6.18,N/A,1,10875,-0.89,8495,0.01,0.06,1.02,0.92,-0.17,-1,0.023
stex,25 Nov 2017,10 Dec 2017,15,175,2,blockchain,5,6700350,55000000,0.12,1,8088,0,930,-0.835,3009,0.22,0.13,2.02,2.02,-114.893,-3.333,77.963
fapcoin,15 Sep 2017,31 Oct 2017,46,215,12,entertainment,N/A,N/A,N/A,N/A,0.3,N/A,1,N/A,-0.463,32723,0.1,0.08,1.3,1.23,-1.041,-6.667,0.04
ox-fina,1 Jul 2017,31 Jul 2017,30,307,10,blockchain,N/A,N/A,N/A,N/A,0.07,N/A,1,854,-0.505,14630,0.2,0.09,1.39,1.3,-0.552,-1,0.048
anryze,12 Sep 2017,12 Oct 2017,30,234,2,blockchain,13,1759099,6000000,0.29,0.02,1041,1,N/A,0.291,670261,0.23,0.14,2.27,2.15,0.059,-3.667,0.015
solomonexchange,N/A,27 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
hackspacecapital,N/A,20 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
impakfinance,N/A,20 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
modum.io,N/A,22 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
detectortoken,N/A,20 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
silentnotary,N/A,18 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
intelligenttradingtech,N/A,17 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
kybernetwork,N/A,16 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
kickico,N/A,16 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
smartinvestmentfundtoken,N/A,15 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
trackr,N/A,15 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
facecoin,N/A,15 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
icobox,N/A,15 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
social(scl),N/A,14 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
enigmacatalyst,N/A,12 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
ahoolee,N/A,11 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
stuffgogo,N/A,11 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
prospector,N/A,10 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
onegram,N/A,10 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
filecoin,N/A,10 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
alpencoin,N/A,10 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
hubii,N/A,07 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
worldwideanonymousmessaging,N/A,06 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
indorse,N/A,06 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
finshicapital,N/A,31 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
moeda,N/A,31 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
xplay,N/A,30 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
paquarium,N/A,24 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
monsterbyte,N/A,04 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
coindash,N/A,04 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
district0xnetwork,N/A,01 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
11.97,N/A,31 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
rootproject,N/A,28 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
geofounders,N/A,26 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
primalbase,N/A,26 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
eros,N/A,23 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
gilgam,N/A,20 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
gilgam.es,N/A,20 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
coindash,N/A,17 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
sumerchain,N/A,17 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
bitquence,N/A,16 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
orocrypt,N/A,14 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100
